phase,batter,runs,balls,sixes,fours,sr,bpct
Middle,OA Shah,213,199,8,13,107.03517587939699,10.552763819095476
Middle,DJ Mitchell,208,151,8,14,137.74834437086093,14.56953642384106
Middle,GJ Bailey,205,229,2,12,89.51965065502183,6.11353711790393
Middle,J Botha,204,183,1,18,111.47540983606557,10.382513661202186
Middle,E Lewis,202,170,13,10,118.82352941176471,13.529411764705882
Middle,Washington Sundar,197,183,4,16,107.65027322404373,10.92896174863388
Middle,SE Rutherford,196,144,12,13,136.11111111111111,17.36111111111111
Middle,HM Amla,194,156,5,14,124.35897435897436,12.179487179487179
Middle,JJ Roy,193,130,8,16,148.46153846153845,18.461538461538463
Middle,PBB Rajapaksa,193,134,10,14,144.02985074626866,17.91044776119403
Middle,JR Hopes,187,127,4,23,147.24409448818898,21.25984251968504
Middle,LR Shukla,184,181,7,14,101.65745856353593,11.602209944751381
Middle,M Kaif,183,167,5,14,109.5808383233533,11.377245508982035
