era,player,runs,balls_faced,innings,matches,strike_rate,avg_per_innings,boundary_pct,dot_pct,six_of_boundaries_pct,impact_score
2018-2022,HH Pandya,1560,1045,5,67,149.2822966507177,312.0,19.617224880382775,32.631578947368425,40.487804878048784,0.42861075476179256
2018-2022,CH Gayle,1346,937,3,41,143.64994663820704,448.6666666666667,21.77161152614728,43.86339381003202,45.588235294117645,0.418000132947909
2018-2022,GJ Maxwell,1087,756,2,50,143.78306878306879,543.5,19.31216931216931,34.65608465608466,30.82191780821918,0.40628413180602096
2018-2022,RD Gaikwad,1203,920,2,36,130.7608695652174,601.5,16.956521739130434,36.08695652173913,27.564102564102566,0.4023704436495322
2018-2022,D Padikkal,1257,1010,2,46,124.45544554455445,628.5,17.02970297029703,40.099009900990104,20.930232558139537,0.39994901327536714
2018-2022,SP Narine,752,445,2,52,168.98876404494382,376.0,28.539325842696627,45.39325842696629,40.15748031496063,0.3870349695967116
2018-2022,MK Pandey,1428,1158,3,53,123.3160621761658,476.0,13.903281519861832,34.196891191709845,24.84472049689441,0.3847203630385783
2018-2022,SO Hetmyer,829,543,2,43,152.67034990791896,414.5,19.70534069981584,33.70165745856354,48.598130841121495,0.3655309849839491
2018-2022,MM Ali,910,632,2,42,143.9873417721519,455.0,20.411392405063292,39.08227848101266,41.08527131782946,0.3638083972508305
2018-2022,MP Stoinis,905,643,2,51,140.74650077760498,452.5,17.573872472783826,32.8149300155521,38.93805309734513,0.35461036377929556
2018-2022,N Pooran,912,604,3,43,150.9933774834437,304.0,19.370860927152318,36.258278145695364,55.55555555555556,0.3471021818643543
2018-2022,CA Lynn,935,700,2,30,133.57142857142856,467.5,20.285714285714285,43.0,29.577464788732392,0.34421886433344906
2018-2022,SK Raina,987,774,2,43,127.51937984496125,493.5,17.31266149870801,36.17571059431525,22.388059701492537,0.34193599581918066
2018-2022,KA Pollard,1070,721,5,56,148.40499306518723,214.0,19.00138696255201,36.47711511789182,54.01459854014598,0.3407863794450448
2018-2022,RV Uthappa,1175,929,3,54,126.48008611410117,391.6666666666667,17.330462863293864,42.6264800861141,35.40372670807454,0.34063911194830315
2018-2022,LS Livingstone,548,327,2,23,167.58409785932722,274.0,23.853211009174313,33.33333333333333,51.28205128205128,0.33403943665635133
2018-2022,AM Rahane,1017,841,2,43,120.92746730083235,508.5,15.576694411414982,37.81212841854934,15.267175572519085,0.33298113296526755
2018-2022,DA Miller,892,674,2,37,132.34421364985164,446.0,14.836795252225517,30.712166172106826,35.0,0.3307543540012068
2018-2022,RA Jadeja,761,548,2,49,138.86861313868613,380.5,16.240875912408757,31.569343065693428,35.95505617977528,0.3150181733625842
2018-2022,KH Pandya,842,666,2,63,126.42642642642643,421.0,15.615615615615615,37.687687687687685,28.846153846153843,0.3040347024613135
2018-2022,WP Saha,870,706,2,39,123.22946175637395,435.0,16.997167138810198,39.09348441926346,15.833333333333332,0.30295778815365415
2018-2022,E Lewis,654,477,2,26,137.1069182389937,327.0,20.545073375262053,44.44444444444444,36.734693877551024,0.2846965325568658
2018-2022,Abhishek Sharma,666,492,2,34,135.3658536585366,333.0,18.089430894308943,37.19512195121951,28.08988764044944,0.2833211804072887
2018-2022,S Dube,686,515,2,33,133.20388349514562,343.0,16.310679611650485,36.699029126213595,45.23809523809524,0.2828514631963958
2018-2022,DJ Hooda,859,666,3,45,128.978978978979,286.3333333333333,13.813813813813812,32.28228228228228,39.130434782608695,0.28200155841955443
2018-2022,R Tewatia,703,541,2,43,129.9445471349353,351.5,16.081330868761555,37.15341959334565,39.08045977011494,0.27894988442002777
2018-2022,SPD Smith,772,643,2,31,120.06220839813375,386.0,13.685847589424572,33.592534992223946,17.045454545454543,0.27135887052431096
2018-2022,PA Patel,525,374,2,20,140.37433155080214,262.5,21.92513368983957,37.70053475935829,17.073170731707318,0.26142227739820695
2018-2022,BA Stokes,603,460,2,30,131.08695652173913,301.5,16.08695652173913,35.21739130434783,22.972972972972975,0.2574823511287826
2018-2022,YBK Jaiswal,542,403,2,23,134.49131513647643,271.0,20.595533498759306,42.67990074441687,26.506024096385545,0.2510571603893871
2018-2022,JM Sharma,234,143,2,10,163.63636363636365,117.0,23.776223776223777,33.56643356643357,35.294117647058826,0.24806886258129507
2018-2022,AK Markram,527,392,2,18,134.4387755102041,263.5,15.306122448979592,29.081632653061224,38.333333333333336,0.24728544145741965
2018-2022,K Gowtham,186,111,2,20,167.56756756756758,93.0,22.52252252252252,36.03603603603604,48.0,0.24609822328864328
2018-2022,Mandeep Singh,580,451,2,36,128.60310421286033,290.0,13.52549889135255,30.820399113082043,31.147540983606557,0.24577844622051476
2018-2022,PJ Cummins,300,193,2,20,155.440414507772,150.0,21.243523316062177,40.932642487046635,53.65853658536586,0.24390387821371923
2018-2022,RM Patidar,403,279,2,11,144.44444444444443,201.5,18.27956989247312,32.25806451612903,41.17647058823529,0.24182523723271937
2018-2022,Rashid Khan,297,193,2,38,153.8860103626943,148.5,20.72538860103627,39.37823834196891,52.5,0.2393460858215734
2018-2022,SM Curran,337,225,2,23,149.7777777777778,168.5,21.333333333333336,38.22222222222222,37.5,0.23893805584233635
2018-2022,V Shankar,629,523,2,37,120.26768642447419,314.5,11.663479923518166,34.41682600382409,44.26229508196721,0.2371419517852646
2018-2022,AR Patel,527,405,2,45,130.12345679012344,263.5,14.5679012345679,32.839506172839506,44.06779661016949,0.23665448533580505
2018-2022,PBB Rajapaksa,205,128,2,9,160.15625,102.5,22.65625,35.15625,44.827586206896555,0.232453714797595
2018-2022,R Parag,522,417,2,37,125.17985611510791,261.0,14.86810551558753,36.45083932853717,35.483870967741936,0.2232616369217534
2018-2022,R Ashwin,415,309,2,36,134.30420711974108,207.5,15.53398058252427,32.038834951456316,39.58333333333333,0.21975819515385836
2018-2022,VR Iyer,552,457,2,22,120.78774617067833,276.0,16.411378555798688,43.32603938730853,28.000000000000004,0.21972607364466973
2018-2022,R Powell,250,167,2,12,149.7005988023952,125.0,19.16167664670659,38.92215568862276,68.75,0.21762266645591324
2018-2022,DJ Bravo,292,204,2,29,143.13725490196077,146.0,17.15686274509804,33.82352941176471,48.57142857142857,0.21165201198030803
2018-2022,DP Conway,252,172,2,7,146.51162790697674,126.0,20.348837209302324,33.13953488372093,34.285714285714285,0.21025215023719201
2018-2022,JC Archer,182,119,2,21,152.94117647058823,91.0,19.327731092436977,33.61344537815126,52.17391304347826,0.2090942617224938
2018-2022,EJG Morgan,552,442,3,29,124.8868778280543,184.0,15.837104072398189,42.081447963800905,42.857142857142854,0.20897222328328763
