bowler,balls,runs,wickets,dots,matches,economy,sr,dot_pct,avg
Joginder Sharma,256,384,13,73,15,9.0,19.692307692307693,28.515625,29.53846153846154
LS Livingstone,312,462,13,82,27,8.884615384615385,24.0,26.282051282051285,35.53846153846154
BA Bhatt,296,399,13,98,15,8.087837837837839,22.76923076923077,33.108108108108105,30.692307692307693
J Theron,221,291,13,75,10,7.900452488687783,17.0,33.93665158371041,22.384615384615383
J Little,228,333,13,84,11,8.763157894736842,17.53846153846154,36.84210526315789,25.615384615384617
JDP Oram,237,349,13,86,14,8.835443037974684,18.23076923076923,36.28691983122363,26.846153846153847
SC Ganguly,276,365,12,82,20,7.934782608695652,23.0,29.71014492753623,30.416666666666668
AG Murtaza,264,313,12,106,12,7.113636363636363,22.0,40.15151515151515,26.083333333333332
V Pratap Singh,204,293,12,75,9,8.617647058823529,17.0,36.76470588235294,24.416666666666668
Simarjeet Singh,240,389,12,107,14,9.725,20.0,44.583333333333336,32.416666666666664
Arshad Khan,260,469,12,95,18,10.823076923076924,21.666666666666668,36.53846153846153,39.083333333333336
Ankit Sharma,367,439,12,139,21,7.177111716621253,30.583333333333332,37.87465940054496,36.583333333333336
BCJ Cutting,281,423,12,78,17,9.03202846975089,23.416666666666668,27.75800711743772,35.25
K Kartikeya,282,402,12,90,16,8.553191489361701,23.5,31.914893617021278,33.5
Azmatullah Omarzai,288,462,12,103,15,9.625,24.0,35.76388888888889,38.5
A Kamboj,207,302,12,84,12,8.753623188405797,17.25,40.57971014492754,25.166666666666668
V Shankar,238,315,11,80,22,7.9411764705882355,21.636363636363637,33.61344537815126,28.636363636363637
V Nigam,240,357,11,76,14,8.925,21.818181818181817,31.666666666666664,32.45454545454545
Pankaj Singh,300,455,11,115,17,9.1,27.272727272727273,38.333333333333336,41.36363636363637
Lalit Yadav,288,418,11,86,19,8.708333333333332,26.181818181818183,29.86111111111111,38.0
A Chandila,234,245,11,105,12,6.282051282051283,21.272727272727273,44.871794871794876,22.272727272727273
BE Hendricks,150,227,11,55,7,9.08,13.636363636363637,36.666666666666664,20.636363636363637
MA Wood,120,185,11,54,5,9.25,10.909090909090908,45.0,16.818181818181817
JL Pattinson,213,312,11,78,10,8.788732394366198,19.363636363636363,36.61971830985916,28.363636363636363
JD Ryder,236,308,11,84,16,7.830508474576272,21.454545454545453,35.59322033898305,28.0
Ashwani Kumar,123,225,11,37,7,10.975609756097562,11.181818181818182,30.081300813008134,20.454545454545453
KP Appanna,216,283,11,70,13,7.861111111111111,19.636363636363637,32.407407407407405,25.727272727272727
OC McCoy,161,232,11,50,8,8.645962732919255,14.636363636363637,31.05590062111801,21.09090909090909
TS Mills,209,334,11,75,10,9.588516746411482,19.0,35.88516746411483,30.363636363636363
Abhishek Sharma,342,513,11,99,33,9.0,31.09090909090909,28.947368421052634,46.63636363636363
Akash Deep,278,519,11,92,14,11.201438848920862,25.272727272727273,33.093525179856115,47.18181818181818
S Badree,258,319,11,114,12,7.4186046511627906,23.454545454545453,44.18604651162791,29.0
J Syed Mohammad,192,282,10,50,11,8.8125,19.2,26.041666666666668,28.2
T Thushara,135,150,10,60,6,6.666666666666667,13.5,44.44444444444444,15.0
Rasikh Salam,231,396,10,72,13,10.285714285714285,23.1,31.16883116883117,39.6
MP Yadav,121,179,10,60,6,8.87603305785124,12.1,49.586776859504134,17.9
DJ Hussey,317,478,10,92,26,9.047318611987382,31.7,29.02208201892745,47.8
N Rana,192,266,10,59,26,8.3125,19.2,30.729166666666668,26.6
MN Samuels,214,279,10,80,11,7.822429906542057,21.4,37.38317757009346,27.9
Anand Rajan,149,193,10,62,8,7.771812080536913,14.9,41.61073825503356,19.3
B Laughlin,168,272,10,44,9,9.714285714285715,16.8,26.190476190476193,27.2
N Thushara,180,266,9,61,8,8.866666666666667,20.0,33.88888888888889,29.555555555555557
N Burger,126,173,9,64,6,8.238095238095237,14.0,50.79365079365079,19.22222222222222
KMA Paul,163,204,9,54,8,7.509202453987731,18.11111111111111,33.12883435582822,22.666666666666668
JEC Franklin,151,219,9,41,15,8.701986754966889,16.77777777777778,27.1523178807947,24.333333333333332
BAW Mendis,244,298,9,79,10,7.327868852459016,27.11111111111111,32.37704918032787,33.111111111111114
KP Pietersen,174,208,9,57,13,7.172413793103448,19.333333333333332,32.758620689655174,23.11111111111111
J Yadav,390,438,9,155,20,6.7384615384615385,43.333333333333336,39.743589743589745,48.666666666666664
Mohammad Asif,192,299,9,71,8,9.34375,21.333333333333332,36.97916666666667,33.22222222222222
SE Bond,186,219,9,76,8,7.064516129032258,20.666666666666668,40.86021505376344,24.333333333333332
IS Sodhi,181,203,9,66,8,6.729281767955801,20.11111111111111,36.46408839779006,22.555555555555557
Shahid Afridi,180,232,9,65,10,7.733333333333334,20.0,36.11111111111111,25.77777777777778
SB Styris,216,272,9,85,11,7.555555555555555,24.0,39.351851851851855,30.22222222222222
SMSM Senanayake,192,208,9,75,8,6.5,21.333333333333332,39.0625,23.11111111111111
AM Nayar,229,312,9,70,19,8.174672489082969,25.444444444444443,30.567685589519648,34.666666666666664
R Parag,295,462,9,66,30,9.396610169491526,32.77777777777778,22.372881355932204,51.333333333333336
P Parameswaran,154,215,9,66,8,8.376623376623376,17.11111111111111,42.857142857142854,23.88888888888889
Nithish Kumar Reddy,163,280,9,49,14,10.30674846625767,18.11111111111111,30.061349693251532,31.11111111111111
AS Roy,179,239,9,61,12,8.011173184357542,19.88888888888889,34.07821229050279,26.555555555555557
Akash Singh,205,323,9,73,10,9.453658536585365,22.77777777777778,35.609756097560975,35.888888888888886
AF Milne,207,325,9,77,10,9.420289855072465,23.0,37.19806763285024,36.111111111111114
DJ Hooda,379,536,9,106,34,8.485488126649077,42.111111111111114,27.96833773087071,59.55555555555556
S Sandeep Warrier,168,243,8,75,10,8.678571428571429,21.0,44.642857142857146,30.375
WG Jacks,138,210,8,43,13,9.130434782608695,17.25,31.15942028985507,26.25
Zeeshan Ansari,203,328,8,48,10,9.694581280788178,25.375,23.645320197044335,41.0
Yudhvir Singh,138,245,8,56,9,10.652173913043477,17.25,40.57971014492754,30.625
