era,player,wickets,balls_bowled,matches,economy,bowling_sr,bowling_avg,dot_pct,impact_score
2008-2012,A Mithun,7,264,15,9.181818181818182,37.714285714285715,57.714285714285715,32.57575757575758,0.3906324888735107
2008-2012,V Kohli,4,234,23,8.461538461538462,58.5,82.5,22.22222222222222,0.3777063544379765
2008-2012,S Ladda,4,114,7,9.578947368421053,28.5,45.5,37.719298245614034,0.37708306201652264
2008-2012,V Sehwag,6,130,14,10.2,21.666666666666668,36.833333333333336,34.61538461538461,0.36907634251717614
2008-2012,A Flintoff,2,66,3,9.636363636363637,33.0,53.0,31.818181818181817,0.3603929983078943
2008-2012,Y Nagar,4,66,8,10.454545454545455,16.5,28.75,24.242424242424242,0.358973973242927
2008-2012,M de Lange,3,60,3,10.4,20.0,34.666666666666664,30.0,0.3521838654086291
2008-2012,Gagandeep Singh,3,84,4,10.142857142857142,28.0,47.333333333333336,30.952380952380953,0.3506487079145874
2008-2012,P Amarnath,7,132,6,10.954545454545453,18.857142857142858,34.42857142857143,25.757575757575758,0.3456425400781472
2008-2012,JJ van der Wath,3,72,3,10.833333333333334,24.0,43.333333333333336,43.05555555555556,0.32800358825169706
2008-2012,S Narwal,6,94,5,11.553191489361701,15.666666666666666,30.166666666666668,34.04255319148936,0.3218804462057731
2008-2012,AA Jhunjhunwala,1,85,10,8.964705882352941,85.0,127.0,32.94117647058823,0.30505365350550134
2008-2012,AD Russell,1,96,4,10.0,96.0,160.0,30.208333333333332,0.24507341419897957
2008-2012,TP Sudhindra,1,70,3,11.057142857142857,70.0,129.0,27.142857142857142,0.240836485579523
2008-2012,K Goel,0,66,6,8.454545454545455,,,30.303030303030305,
2013-2017,B Kumar,105,1681,75,6.995835812016657,16.00952380952381,18.666666666666668,45.68709101725163,0.8779119565983706
2013-2017,SP Narine,80,1576,66,6.532994923857868,19.7,21.45,42.82994923857868,0.7989536161981787
2013-2017,MM Sharma,91,1534,75,8.010430247718382,16.857142857142858,22.505494505494507,38.85267275097783,0.7824874789246649
2013-2017,SL Malinga,76,1256,54,7.20859872611465,16.526315789473685,19.855263157894736,40.52547770700637,0.7608481260212314
2013-2017,Harbhajan Singh,75,1632,73,7.022058823529412,21.76,25.466666666666665,37.86764705882353,0.7569032035701273
2013-2017,Sandeep Sharma,76,1225,56,7.6506122448979585,16.11842105263158,20.55263157894737,45.55102040816327,0.7430554565007947
2013-2017,DJ Bravo,80,1025,49,8.189268292682927,12.8125,17.4875,32.6829268292683,0.7404882308497549
2013-2017,YS Chahal,69,1191,55,7.848866498740554,17.26086956521739,22.579710144927535,35.43240973971453,0.7071196418944965
2013-2017,A Mishra,65,1347,67,7.5768374164810695,20.723076923076924,26.16923076923077,35.11507052709725,0.6983381081224724
2013-2017,CH Morris,62,1008,48,7.494047619047619,16.258064516129032,20.306451612903224,42.36111111111111,0.6975133113913253
2013-2017,A Nehra,66,961,44,7.9667013527575445,14.56060606060606,19.333333333333332,42.97606659729448,0.6952333357555079
2013-2017,UT Yadav,74,1322,63,8.600605143721634,17.864864864864863,25.60810810810811,39.334341906202724,0.6933908911106493
2013-2017,MG Johnson,64,1109,48,7.812443642921552,17.328125,22.5625,46.077547339945895,0.6900157621648353
2013-2017,AR Patel,61,1251,59,7.434052757793765,20.508196721311474,25.40983606557377,35.41167066346922,0.689801674439205
2013-2017,R Ashwin,52,1205,61,6.647302904564316,23.173076923076923,25.673076923076923,39.50207468879668,0.6851691726511978
2013-2017,JP Faulkner,71,1178,57,8.699490662139219,16.591549295774648,24.056338028169016,35.31409168081494,0.6801092259095938
2013-2017,RA Jadeja,61,1310,72,8.051908396946565,21.475409836065573,28.81967213114754,32.82442748091603,0.6625767117127828
2013-2017,PP Chawla,55,1129,57,7.674047829937997,20.527272727272727,26.254545454545454,34.366696191319754,0.6575504487392476
2013-2017,SR Watson,58,1050,56,8.182857142857143,18.103448275862068,24.689655172413794,39.42857142857143,0.6511724843096593
2013-2017,KV Sharma,54,1034,55,7.804642166344294,19.14814814814815,24.90740740740741,37.234042553191486,0.6505170028785598
2013-2017,MJ McClenaghan,56,926,40,8.254859611231101,16.535714285714285,22.75,41.68466522678186,0.6431654576132728
2013-2017,JJ Bumrah,53,1044,47,7.925287356321839,19.69811320754717,26.0188679245283,37.26053639846743,0.6409443205396365
2013-2017,DS Kulkarni,50,891,45,7.818181818181818,17.82,23.22,44.33221099887766,0.637171670317964
2013-2017,JD Unadkat,50,792,36,7.9393939393939394,15.84,20.96,38.76262626262626,0.6351529024618054
2013-2017,Z Khan,43,818,38,7.2689486552567235,19.023255813953487,23.046511627906977,42.42053789731051,0.6322880577918605
2013-2017,MA Starc,39,580,26,7.096551724137932,14.871794871794872,17.58974358974359,44.13793103448276,0.6310130840692689
2013-2017,Imran Tahir,50,716,32,8.094972067039105,14.32,19.32,31.98324022346369,0.6309978746867019
2013-2017,R Vinay Kumar,51,892,42,8.448430493273543,17.49019607843137,24.627450980392158,35.98654708520179,0.6151200018634442
2013-2017,NM Coulter-Nile,39,563,25,7.534635879218472,14.435897435897436,18.128205128205128,46.35879218472469,0.6134270152203933
2013-2017,DW Steyn,35,875,38,6.911999999999999,25.0,28.8,47.65714285714286,0.6083798152376747
2013-2017,M Morkel,43,909,39,7.782178217821782,21.13953488372093,27.41860465116279,46.094609460946096,0.6076630876531052
2013-2017,P Kumar,40,1034,52,7.618955512572534,25.85,32.825,44.87427466150871,0.5961403507282568
2013-2017,MC Henriques,39,793,50,8.194199243379572,20.333333333333332,27.76923076923077,31.525851197982348,0.5769151701220104
2013-2017,R Bhatia,32,767,42,7.478487614080834,23.96875,29.875,25.684485006518905,0.5752440833311839
2013-2017,S Nadeem,27,731,36,6.935704514363886,27.074074074074073,31.296296296296298,36.66210670314637,0.574586715937743
2013-2017,AD Russell,35,535,30,8.186915887850468,15.285714285714286,20.857142857142858,40.0,0.5701326438111731
2013-2017,Rashid Khan,18,324,14,6.703703703703704,18.0,20.11111111111111,39.81481481481482,0.5648141274261108
2013-2017,STR Binny,24,450,47,7.226666666666667,18.75,22.583333333333332,38.44444444444444,0.5640978408932701
2013-2017,R Rampaul,17,268,12,6.895522388059701,15.764705882352942,18.11764705882353,51.11940298507462,0.5565406170850399
2013-2017,P Negi,27,493,30,7.740365111561866,18.25925925925926,23.555555555555557,33.46855983772819,0.5545562627403294
2013-2017,Shakib Al Hasan,25,588,27,7.408163265306122,23.52,29.04,37.41496598639456,0.5529354558089911
2013-2017,Mustafizur Rahman,19,382,17,7.068062827225131,20.105263157894736,23.68421052631579,38.21989528795812,0.5501126632987952
2013-2017,A Zampa,19,221,11,7.411764705882353,11.631578947368421,14.368421052631579,33.03167420814479,0.5487664908761993
2013-2017,Washington Sundar,9,180,10,6.233333333333334,20.0,20.77777777777778,47.22222222222222,0.5480171987210887
2013-2017,AB Dinda,37,753,36,8.717131474103585,20.35135135135135,29.56756756756757,37.84860557768924,0.5476913309343797
2013-2017,AJ Tye,12,126,6,6.857142857142857,10.5,12.0,38.88888888888889,0.5476824601515019
2013-2017,PV Tambe,27,660,33,7.700000000000001,24.444444444444443,31.37037037037037,32.57575757575758,0.5467675080571621
